province_industry,pagerank_value
江苏非金属矿物,0.0029041412448282075
浙江批发零售,0.0029039078364186443
江苏食品加工,0.002899327165733409
河南其他第三产业,0.0028808540229720097
河南化学制品,0.002846527510482067
重庆电子通信,0.0027819295978472056
北京金融,0.0027231386292153824
广东食品加工,0.002703186644192611
广东普通机械设备,0.002610247675509726
浙江交通运输,0.0026096305220604374
河北建筑业,0.0025255008168704363
广东农业,0.0025223821901773106
江苏木材加工,0.0025166445503642942
四川农业,0.002507524710322499
江苏橡胶塑料,0.002505888869946368
湖北化学制品,0.002485973580932895
浙江电气机械,0.002474374941396826
广东食品制造,0.0024481740281329222
江苏电热生产供应,0.0024259287403280384
河南农业,0.0024144404809604975
四川金融,0.002410449912987101
山东电气机械,0.002360736611385259
湖南其他第三产业,0.00234579902628199
江苏医药制品,0.0023285620034468194
山东专用机械设备,0.0023208071186433727
广东造纸和纸制品,0.002274144180985658
安徽其他第三产业,0.002249176686371019
广东有色金属,0.00224509719649437
广东文教体育用品,0.0022259875004229514
湖北其他第三产业,0.002211074198750209
河北其他第三产业,0.002187142063818438
山东食品制造,0.002165524932503632
四川运输邮政,0.0021400961209287633
安徽电气机械,0.0021387957232355506
山东电热生产供应,0.002117401449600279
浙江建筑业,0.0020982383612087228
上海金融,0.0020788513711308466
四川化学制品,0.0020365770767311925
广东住宿餐饮,0.002031508020084645
江苏房地产,0.0020173059977899015
山东金融,0.002015751276068633
河南黑色金属,0.0020153675994916344
山西煤炭开采,0.002003754406245461
广东黑色金属,0.002003414827804294
浙江普通机械设备,0.002000889353095671
上海其他第三产业,0.001953867371605844
内蒙古煤炭开采,0.0019413709112445258
陕西其他第三产业,0.0019265347370529449
山东医药制品,0.0019198664946945057
江苏有色金属,0.001905587082432816
湖北农业,0.0019011916182359394
湖北食品加工,0.0018889958484479877
河南运输邮政,0.00188173311111862
浙江金融,0.001881665433260047
广东废弃资源回收加工,0.0018664892412580429
天津其他第三产业,0.001852859183821286
广东专用机械设备,0.001841385979105501
上海批发零售,0.001840468225019186
广东皮革制品,0.001832680722595188
四川批发零售,0.0018240277537227023
河北运输邮政,0.0018139391148203378
河南食品制造,0.0018129680696062447
广东石油炼焦,0.0018094526814274963
山东木材加工,0.001803453566198061
山东电子通信,0.001801685944110859
广东纺织服装服饰,0.001795376520445159
浙江运输邮政,0.0017946791483052279
山东造纸和纸制品,0.0017927305926079325
河南纺织业,0.0017234058444948622
江西有色金属,0.0017213854442794893
河南建筑业,0.0017118912755475703
北京电热生产供应,0.0017030986463307362
浙江电热生产供应,0.0016999834954008082
四川电热生产供应,0.0016899288256372507
江苏文教体育用品,0.0016646568202462655
四川非金属矿物,0.0016410373965394726
云南其他第三产业,0.0016323412204050218
福建其他第三产业,0.001602095768743436
安徽建筑业,0.001588428582126961
河北金属制品,0.001576970571787094
安徽化学制品,0.001575769760961977
江苏造纸和纸制品,0.0015675560723978257
广西农业,0.001565621350225344
内蒙古黑色金属采选,0.0015631822693965305
陕西石油天然气,0.0015364717574579
广西电子通信,0.0015316741506370326
四川食品加工,0.0015306513910483337
安徽黑色金属,0.0015291549883635765
河南批发零售,0.0015147606292043479
广西其他第三产业,0.0015116368660494297
河南普通机械设备,0.0015037779179771407
广东家具,0.0014925027016067982
河南交通运输,0.0014831645882642092
广东纺织业,0.0014816215430118157
江苏住宿餐饮,0.0014574178838829563
湖北纺织业,0.001446260448599351
云南农业,0.001443467458516952
湖南化学制品,0.0014151975783864438
湖南农业,0.0013912818120011988
重庆交通运输,0.0013820131267688162
四川黑色金属,0.0013678227417348906
贵州农业,0.0013620825098085688
重庆其他第三产业,0.001359705642163441
山东住宿餐饮,0.001359013047295912
安徽农业,0.0013442579442726184
安徽食品加工,0.0013420322399450657
贵州其他第三产业,0.0013307345805809378
四川建筑业,0.0013294511632555618
安徽有色金属,0.0013205828542469697
浙江纺织服装服饰,0.0013202167199290434
湖北非金属矿物,0.0013188618368935037
广西黑色金属,0.0013176120204588405
陕西农业,0.001312751092552858
北京批发零售,0.0012861415718764294
河南专用机械设备,0.0012677641193180006
贵州运输邮政,0.0012646221926670032
湖南有色金属,0.0012643644457272262
浙江黑色金属,0.0012617322564003224
浙江电子通信,0.0012241777803816032
天津黑色金属,0.0012238986678448055
浙江橡胶塑料,0.0012022753656226878
